CoID,Company Name,Booth Number,Company Contact Email,User Text 1
124,Eckel Industries of Canada,1775,dawns@eckel.ca,13AN181
233,Educated Patients,1644,kevin@educatedpatients.com,13AN233
129,ENT & audiology news,378,heather@pinpoint-scotland.com,13AN182
261,Envision TEC,685,jfranklin@envisiontec.com,13AN241
131,EPIC Hearing Healthcare,1593,jswank@epichearing.com,13AN183
132,ESCO-Ear Service Corp.,1379,kdkuntz@earserv.com,13AN184
133,Etymotic Research- Inc.,715,k_briskey@etymotic.com,13AN185
134,Exsilent BV,1777,shuizenga@exsilent.com,13AN283
320,FrontRow,253,dmd@gofrontrow.com,13AN264
16,Frye Electronics- Inc.,2009,sfrye@frye.com,13AN125
136,G.R.A.S. Sound & Vibration,358,barbara@gras.us,13AN186
137,GN Otometrics,591,cbeschta@gnotometrics.com,13AN187
137,GN Otometrics,1165,cbeschta@gnotometrics.com,13AN187
102,Grason-Stadler (GSI),663,jmp@grason-stadler.com,13AN169
138,Hal-Hen Company- Inc.,1345,jvespe@halhen.com,13AN188
139,Hamilton CapTel,590,katelyn.goertzen@hamiltonrelay.com,13AN189
140,Hansaton Hearing Systems,1485,beastman@hansaton.com,13AN190
142,Harris Communications- Inc.,1436,mbernard@harriscomm.com,13AN191
145,Hear USA,1207,psachs@hearusa.com,13AN192
329,Hearing Fusion,1666,udi@udiesel.com,13AN266
147,Hearing HealthCare News,354,hearing123@aol.com,13AN193
315,Hearing Healthcare Recruiters,181,george@hearinghealthcarerecruiters.com,13AN262
315,Hearing Healthcare Recruiters,1745,george@hearinghealthcarerecruiters.com,13AN262
70,Hearing Journal - LWW,915,ruth.boyle@wolterskluwer.com,13AN151
264,Hearing Review/ Hearing Review Products,1573,scho@thisisamg.com,13AN244
152,HIMSA- Inc.,1407,adennis@himsa.com,13AN194
340,HoerTech gGwbh,1695,corinna.pelz@uni-oldenburg.de,13AN276
154,Ida Institute,615,ahw@idainstitute.dk,12AN886
155,Industrial Acoustics Co.,672,mferguson@industrialacoustics.com,13AN195
157,Insta-Mold Products- Inc,1159,richardgersh@instamold.com,13AN196
158,In'Tech Industries- Inc,846,jim.durkot@intech-ind.com,13AN197
277,Integrated Surface Technologies,280,jeff@insurftech.com,13AN280
159,Intelligent Hearing Systems,621,rlauture@ihsys.com,13AN198
160,Interacoustics US,233,kes@diagnostic-group.us,13AN199
162,International Society of Audiology,1539,gtm98@yahoo.com,13AN200
163,Intricon,1899,bcahoon@intricon.com,13AN201
163,Intricon,MR11,bcahoon@intricon.com,13AN201
163,Intricon,MR12,bcahoon@intricon.com,13AN201
307,Inventis srl,2005,massimo.martinelli@inventis.it,13AN256
336,ISEN Tech. & Trading Co.- Ltd.,493,sophia@isen.com.cn,13AN270
164,Jedmed Instrument Company,223,info@jedmed.com,13AN202
168,Kaiser Permanente,1565,greg.p.montemayor@kp.org,13AN203
169,Knowles Electronics- Inc.,321,Carl.Thoemmes@knowles.com,13AN204
310,LANTOS Technologies Inc.,1669,jrossi@lantostechnologies.com,13AN259
172,Lightspeed Technologies- Inc.,1014,lisa.guerrero@lightspeed-tek.com,13AN205
175,Maico Diagnostics,315,kes@diagnostic-group.us,13AN207
176,Marcon Hearing Instruments,1563,marconhear@aol.com,13AN208
177,McKeon Products Inc.,1589,sburns@macksearplugs.com,13AN209
178,Med-El Corporation,1433,angela.nasto@medel.com,13AN210
180,MedRx- Inc.,815,penny@medrx-usa.com,13AN211
181,Micromedical Technologies,415,diane@micromedical.com,13AN212
182,MicroPower Battery,1352,ea@microbattery.com,13AN213
183,Microsonic- Inc.,669,Monika@microsonicmusic.com,13AN214
184,Mid-States Laboratories- Inc,352,woody@mid-stateslabs.com,13AN215
287,Mimosa Acoustics,1646,klrust@mimosaacoustics.com,13AN251
186,Miracell Inc.,844,stuarth@miracell.com,13AN216
100,Natus Medical Incorporated,1201,castone@natus.com,13AN167
189,Neuro Kinetics- Inc.,1279,skardos@neuro-kinetics.com,13AN217
190,Neuromonics- Inc.,1660,duane.knight@neuromonics.com,13AN218
244,Nutshell Marketing- Inc,695,kelly@nutshellmarketing.com,13AN237
244,Nutshell Marketing- Inc,1675,kelly@nutshellmarketing.com,13AN237
326,NXP Semiconductors Belguim,195,antoine.delaruelle@nxp.com,13AN265
194,Oaktree Products- Inc.,1559,adees@oaktreeproducts.com,13AN219
195,ON Semiconductor,292,melanie.landry@onsemi.com,13AN220
195,ON Semiconductor,MR13A,melanie.landry@onsemi.com,13AN220
195,ON Semiconductor,MR13B,melanie.landry@onsemi.com,13AN220
195,ON Semiconductor,MR13,melanie.landry@onsemi.com,13AN220
266,Oticon Medical,515,vls@oticonmedicalusa.com,13AN274
197,Oticon- Inc.,327,hvf@oticonus.com,13AN221
197,Oticon- Inc.,MR18,hvf@oticonus.com,13AN221
198,Otodynamics Ltd,421,info@oaesdirect.com,13AN222
23,OTOVATION LLC,1301,siobhan@otovation.com,13AN126
247,Panasonic,254,steven.hubbard@us.panasonic.com,13AN238
247,Panasonic,MR15,steven.hubbard@us.panasonic.com,13AN238
342,Path Medical GmBH,234,higgs@pathme.de,13AN278
30,Perfect Seal Laboratories- Inc.,1658,earmolds@sbcglobal.net,13AN130
174,Persona Medical,677,don@personamedical.com,13AN206
174,Persona Medical,794,don@personamedical.com,13AN206
174,Persona Medical,1551,don@personamedical.com,13AN206
31,Phonak,1259,kelly.baumgarten@phonak.com,13AN131
31,Phonak,MR5,kelly.baumgarten@phonak.com,13AN131
33,Plural Publishing,1426,angiesingh@pluralpublishing.com,13AN132
338,Providence Speech and Hearing Center,2004,pshc@pshc.org,13AN272
37,Rayovac Corporation,1144,kevin.kouba@rayovac.com,13AN133
335,Resonate Industries- Inc,1779,mplaksin@prodigy.net,13AN269
6,ReSound,379,msandoval@gnresound.com,13AN122
6,ReSound,MR16,msandoval@gnresound.com,13AN122
6,ReSound,MR17,msandoval@gnresound.com,13AN122
39,Rexton,653,hmathis@rexton.com,13AN134
216,Right Hear Network,283,jklumph@righthear.com,13AN225
274,Salus University Osborne College of Audiology,1429,gsundar@salus.edu,13AN248
41,Sebotek Hearing Systems,1477,Jamief@sebotek.com,13AN135
217,Serene Innovations- Inc.,2008,p.lee@sereneinnovations.com,13AN226
42,Siemens Hearing Instruments,639,elizabeth.giaimo@siemens.com,13AN136
42,Siemens Hearing Instruments,1015,elizabeth.giaimo@siemens.com,13AN136
42,Siemens Hearing Instruments,1126,elizabeth.giaimo@siemens.com,13AN136
42,Siemens Hearing Instruments,2012,elizabeth.giaimo@siemens.com,13AN136
225,Simply Hearing Software Inc.,388,jcrumb@simplyhearing.com,13AN230
331,Solutionreach,2007,tiffany@solutionreach.com,13AN267
43,Sonic Alert- Inc.,1571,ejbrink@sonicalert.com,13AN137
44,SONIC innovations,244,clgroetsch@comcast.net,13AN138
24,Sonion,721,cd@sonion.com,13AN127
215,Sonitus Medical- Inc.,1493,shirley@sonitusmedical.com,13AN224
45,Sonus USA,1272,paul.damico@amplifon.com,13AN139
45,Sonus USA,MR6,paul.damico@amplifon.com,13AN139
306,Sophono- Inc.,282,alan.franklin@sophono.com,13AN282
226,Sound Oasis Company,1642,troy@mysoundoasis.com,13AN231
309,SoundCure,227,barbara.cromarty@soundcure.com,13AN258
262,Soundlink- Co LTD,392,bella@soundlink.cn,13AN242
257,SureWay Marketing Services,1744,chris@surewaypg.com,13AN239
50,Sy Kessler/Renata Batteries,1572,hkessler@sykessler.com,13AN140
51,Sycle.net,1349,elodie@sycle.net,13AN141
51,Sycle.net,1245,elodie@sycle.net,13AN141
52,Synapsys- Inc.,1528,g.walstrom@synapsysusa.com,13AN142
313,The Centers for Medicare and Medicaid Services,393,aburton@ctaud.org,13AN260
344,The Ear Connection,277,getasafensound@gmail.com,13AN285
55,The University of Texas Med Branch,675,dlcarlso@utmb.edu,13AN143
26,Thieme Medical Publishers,1526,annika.kunkel@thieme.com,13AN128
56,TIMS for Audiology,215,susans@cu.net,13AN144
59,Unitron,1314,maria.cabrera@unitronhearing.com,13AN145
59,Unitron,MR1,maria.cabrera@unitronhearing.com,13AN145
60,University of Florida,1353,ljn@PHHP.UFL.EDU,13AN146
85,US Army Medical Recruiting,1688,shawn.davis@usaac.army.mil,13AN279
63,Varta Microbattery Inc.,1575,william.flanagan@varta-microbattery.com,13AN147
27,Vivosonic Inc,1401,donna.lakshman@vivosonic.com,13AN129
339,Voice to Print Captioning,1652,scheduling@voicetoprint.com,13AN275
65,Warner Tech-Care Products,679,kathyp@Warnertechcare.com,13AN148
270,Wells Fargo Health Advantage,691,jenna.l.kelly@wellsfargo.com,13AN247
66,Westone Laboratories- Inc.,726,ritas@westone.com,13AN149
283,WhisperRoom- Inc,1677,info@whisperroom.com,13AN249
67,Widex USA- Inc,450,canderson@widexmail.com,13AN150
67,Widex USA- Inc,454,canderson@widexmail.com,13AN150
67,Widex USA- Inc,MR19,canderson@widexmail.com,13AN150
285,Xiamen NewSound Technology Co.- Ltd,289,agm@newsound.cn,13AN250
71,ZeniPower Battery Co.,372,wf@zenipower.com,13AN152
